21-1,続くと言うよりしっかりデメリットを説明されている市長さんがいます。大阪の泉大津市長さんです❗️子供への一斉送付はせず希望者だけだそうです。多くの市長さんは勉強不足だとハッキリ言われています。同調圧力だけは絶対避けなければいけませんね❗️,21,pia non
22,ワクチンの副作用も言わず，ワクチン進める！悪の大村知事！市長は，素晴らしい❤️,63,トラ,1
22-1,河村市長は、素晴らしい,17,トラ
23,がんばれ大石アナ。がんばれ河村市長。名古屋市という大型の自治体でどれだけの健康被害が出ているのか正確な数字を出すことは大変な意義があると思っています。,96,ss yossy,0
24,この人は品がないけど素朴だから好き,138,「ネットコメンテーター」 ねちねちねち男,0
25,日本で僅かなマトモな市長の一人だったな、河村さんは。よろしくお願いいたします<(_ _)>,72,MACKYWEST,2
25-1,@ken satou 泉大津市の南出市長さんね、,1,MACKYWEST
25-2,泉大野の市長さんも良いです。,4,ken satou
26,河村市長、ありがとうございます。他の地域も続きましょう！,75,ママチョコ,0
27,河村市長に金メダルを❗全国にも拡がって欲しい相談窓口。是非、統計をとってメディアで伝えて欲しいです,106,絵夢,0
28,名古屋市ではないけど隣の市に住んでてこんなに近くで素晴らしい方がいるなんて名古屋市を見なおしました！河村さん応援してます!!,37,pootan,1
28-1,隣の「市」・・・犬山、小牧、尾張旭、瀬戸、長久手、豊田・・・どこですかｗｗｗ,0,ken satou
29,全国の市町村に見習って欲しい！一刻も早く！！！,74,Y T,0
30,もう膨大な人が大変な目に遭ってます。対症療法で解決するレベルではありません。,172,銀杖師みなと 松葉卸売,2
30-1,そうなんですよね。この事態に加担したのも医師、それをまた拾いましょうというのも彼ら。根本的に救えなければまた別の医療漬け。河村市長の気持ちはたいへんありがたいが。。制度の問題なのでしょうか。,24,daisuki nihonshu
31,川村市長がメダル齧った位で、ギャ～ギャ～騒ぐのが居たけど,今度は高評価の意味でメダル以上に全国区で騒いで欲しいが,こんな時は案外静かなんだよな❓️😃,62,菊竹淳,0
32,同じ愛知なのになぁ。。。O村知事は真逆に打て打てどんどん。。。呆れる。,92,ちび太,0
33,やっと日本でもこういう対応を開いてくれるようになった！自治体では初らしいけどどんどん他の自治体も続いて欲しい安易に枠を打つ医者も考えた方がいい、半ば強制のように打っている現状いくら任意と言っても限度がある、打つ時にちゃんと副反応について丁寧に説明したかどうか責任を問われる事態になるよ、命に関わることなんだからインフォームドコンセント、説明責任　ですよ,66,てなんとふぁーまー,2
33-1,@sunshine911 前もっての検査も大事になります。何かあったとき、事前のデータがないから泣き寝入りというのが多いそうです。,2,さゆ
33-2,半強制で打たされる人は「録音」をしておくべきです。上司、医者、看護師など。リスクを説明したかどうか。集団訴訟も準備されているし。長期後遺症のリスクも説明しないと・・がん、不妊、免疫不全、血栓症、普通の風邪の重症化、狂牛病、・・・,6,sunshine911
34,名古屋有志医師の会、東海有志医師の会にも協力を望みます。,221,Hirotomo Tanaka,0
35,さらにこれから被害が増していきますね。,106,キムムーキムムー,0
36,大石さん、河村さん、有難う、この先多くの人が救われます、感謝です。🙏,29,cosu,0
37,名古屋の河村市長さん素晴らしいです👍,149,ramune,0
38,名古屋市長　ありがとうございます！　　全国の市長さんも見習って！,33,亀茶,0
39,自分の市と県にも要望出しておきました…！前例があると、やはり反応が違いますね。,56,arigato mori,0
40,素晴らしいです。名古屋市民が羨ましいです。,59,みれど,0
41,当たり前の事を、胸を張ってできない都道府県知事。マンボーで首しめてないで、真っ当な当たり前の行動をしてほしい。その分の給料を貰ってますよね？,111,苺杏,0
42,他の自治体もこれに続いてほしい。,41,Abon,0
43,CBCニュース凄い‼️もっと広まる事を願います。,66,おそら,0
44,聞くのは簡単  言うのは簡単❗その後だよ 大事なのは‼️大丈夫 安心だから って勧めた人は全員  お金出し合って 一人残らず救ってあげてくださいね‼️,36,タンたん,1
44-1,逃げるんだよね、そういう人は…まるで最初から居なかったかのように。こういうところでも前はよくいたはず…今もいるのはいるけど。,1,さゆ
45,武田先生も、良い人だって言ってましたね❣️本当です❣️,37,れ,0
46,こういった制度が全国初というのが異常すぎます、YouTubeだけではなく全国区のニュースやワイドショーで報道してほしいです。,19,tfmckw,0
47,名古屋市すごいです！もっと違う県でも立ち上がってほしい！,169,miso 244,0
48,困っている市民を助けるのが自分の仕事と言う名古屋市長に比べ河野太郎に代表される政府自民党の輩共の悪逆非道は許し難い！！！,27,鳳凰院凶真,0
49,河村市長頑張れ👊😆🎵,63,新宿三丁目,0
50,河村市長ありがとうございます🎵応援していますよ！困っている人達の声を聞いてあげて下さい！,29,宮川久美,0
51,メダルかじりの減点を補って余りある行動です。河村氏を見直しました❗,36,カワイタダス,1
51-1,そういえば、そんな事あったねｗｗ,2,ken satou
52,素晴らしい取り組みです。しかしこんな対応が必要なってしまってる有害事象が多数起こってる事に皆疑問に思わなきゃいけない。,21,shin,0
53,早々と医師会と病院を動かすとは！！！！さすがの河村市長だわ！！県知事の誰かさんでは無理だったでしょうね。口だけ番長の大阪の元知事Ｈ氏でも無理。他の大きな市は続かないのかしらね。,19,Maya Saijo,0
54,先ず原因である、打たせることをもう少し考えさせたらどう？　メディアを使っての打て打て攻撃（煽動報道）、TV医者は副反応、後遺症、死亡する可能性等のリスクすら説明しないでとにかく打て打て（煽動）。　それじゃだめだと思います。,55,S K,1
54-1,同感です❗,9,朝倉典子
55,これが全国発って言うのがそもそもおかしな話なんだよね。,36,鰻.,0
56,河村市長！　頼りにしてます！,44,幸 中島,0
57,頑張れ！マンボウしか言わない人とは違いますね。,53,Suleyman78 -【Stationery】,0
58,大村愛知県知事（ワクを打て打て）の尻ぬぐいする河村市長。知事は即刻辞任すべし。,37,mn oo,0
59,もっともっと認知されて全国に窓口が増えますように…お願いします🥺,16,ともこ,0
60,打てと推進した医師の責任もあると思う。辛い症状の方達には、１日も早く適切な治療や救済をと願いますし、河村市長に、全国が、国が当たり前に続いて欲しい。だが、無責任に打ちまくって、打つ人が少なくなったら今度は後遺症の治療…では、本来無責任に勧めるべきではなかったことにどこまでちゃんと向き合えるのでしょうか？医師・看護士の人達は自分のしたことにしっかり向き合ってほしいと思います,81,Akiko,2
60-1,@sunshine911 自己責任のワクチンで訴訟が起こせるんですか？？,0,りおも
60-2,ある弁護士の話だと、医者を訴訟の対象にするのが速いらしいです。,9,sunshine911
61,国が認める副反応の枠が狭い、そこも広げていかないとですね医療費も国は出さなそうだから地方が負担？になれば良いけど、副反応で病院に通ってる人は今は手出しですからねぇお注射を国で確保するのに税金使いお注射を広める為に保管、輸送、医療団体宣伝費などにも税金を使いお注射で(？)体調崩した方々への医療にも税金を使う国がやる事はいつも本末転倒ってやつですね,19,黒岩真司,0
62,河村市長ありがとうございます。,50,いつも運がいい無線技術者,0
63,河村市長ありがとうございます✨大石アナも報道ありがとうございます🙏,89,ゆう〜3,0
64,何が正しいとか誤りとか争うよりも困っている方をまず助けましょう。河村たかし市長応援しております。,13,やまだたろう,0
65,全国初ってそもそも今まで無かった事がおかしい,29,こーしー,0
66,コロナワクチン薬害集団訴訟涙を流す原告団の姿が目に浮かぶ,51,Impermanence,3
66-1,@あさささはな 　偏向報道を繰り返して、反対派の医師を出演させなかったテレビ局関係者も許さねえ。　一番叩きのめす必要があると個人的には思っている。,0,ken satou
66-2,1度目は弁護士が追い出されましたよね、確か。マスクをしないというところだけ目立たせてた。,0,さゆ
66-3,デメリットを伝えずに打て打て煽りまくった河野と忽那あたりは100%訴えられるだろうな,21,あさささはな
67,頑張れ～,58,望月眞理子,0
68,これで国も動いてくれるといいんですが,22,カズ,0
69,河村市長❗️ありがとうございます。貴殿こそ政治家の器。,19,畔見正秋,0
70,名古屋すごい！河村さんすごいです！,28,Makonaka,0
71,やはり取材は大石さんか,34,houtoumusuko,0
72,ワク・・の効果が出て来るのが 2週間たってからなら 最低でも 2週間までは 副反応の可能性は あるよね？,44,奈良ぷー,0
73,河村市長のことは全然好きじゃなかったですが、今回の件で見直しました。,22,Yozo_A,0
74,販売と同時に苦情とか返品受けつけ窓口を作るのが市民サービスと思うけど。,22,梅ちゃん,0
75,河村市長、東京もお願い致します。,39,浜田拓司,0
76,名古屋市のレベルの高さを物語ってますね❤️ありがとうございます‼️,34,S&Sチャンネル SnimaS,0
77,埼玉県も作って欲しい制度です。名古屋市長凄いです！,18,浜田省吾,0
78,名古屋で働く息子を持った母親です。ワクチン後遺症を市長が認め周知される事で他の年代にも接種圧力が緩む事を期待してます。ありがとうございます、本当に感謝してます。,12,笹野恵,0
79,頑張れ❗️,31,ウズベキオジサン,0
80,といいますか、接種やる意味あるんですか？　最初から、やらないほうが、相談窓口なんか不要では？,29,創者一客,1

81,後遺症に悩まれていた方の、希望の星ですね！河村市長がきっかけとなって、コ〇ナワクチン後遺症に対する対応の輪が全国に拡がりますように！,12,gogo ringo,0
82,メダルかじった時は腹が立ったけど、今度の事は素晴らしい,18,NOA,0
83,一ヶ月経って出るから厄介,49,大黒天マロン,0
84,河村市長に感謝します後遺症で苦しんでいる人にとって有難いことです後遺症のかた１日も早く回復されることを祈っています,9,keitoku209,0
85,もう、枠辞めて欲しい、インフルと同じで任意に。イベルメクチンが効くのなら、イベルメクチン認可すれば、終れるのに。,28,k,0
86,同時に訴訟も。,32,本 日,0
87,素晴らしい！山梨の県知事と大違い！,27,Y M,0
88,素晴らしいです‼️仕事が早いですね😉,21,EMHIRO,0
89,CBC、大石アナの手柄です！,29,上原仁,0
90,👏👏👏👏👏👏👏👏素晴らしい❤️,24,トラ,0
91,やはり、他と違うね👍,31,オンフェイス,0
92,河村市長すばらしい！こうゆう人が全国にもっと増えてってほしいですね💡,5,おじこ,0
93,ありがとうございます。,18,早雲北条,0
94,ありがとうそれが本当,19,X iPh,0
95,河村市長ありがとうございます全国の見本となります。最初に立ち上げてくださったことに感謝いたします。,6,梢 酒井,0
96,勇気がいる行動だと思います。暗殺されかねないぐらいの案件ですから,14,やすのり,0
97,やっとかて感じ😮‍💨河村市長Good Job🥳,13,本多拓也,0
98,名古屋市、素晴らしいです。他の自治体も同じように取り組んで頂けるといいのですが。,4,マイミドリー,0
99,名古屋市について真似る知事はどこなのか国民は冷静に見ています。,9,マチルダ,0
100,河村市長応援します‼️ありがとうございます‼️全国にいらっしゃるワクチン後遺症の方々　Twitterで一部だけ拝見しますがSNSで訴えてない方も相当数いるはずです　少数の声を大事にしてください　中　長期的な副反応が一切不明な新しいワクチンです　大泉大津市の市長さんも声をあげてくれています　どうか接種後体調不良の人皆さんが救われますように😭,4,MANA AIDA,0
101,ありがとうございます,15,石橋美佳,0
102,風向きが変わってきてるね。正しいことを堂々とやれる世の中に戻そう,8,AquaOOOaupA,0
103,ありがとうございます。っていうか、なんでこれが全国的に最初から無かったのかな,7,Hiroshi Nakajima,0
104,『因果関係不明』この言葉で、逃げ切らせては絶対に『ダメ🙅‍♀️』悪魔と手を組んだ輩に、厳罰を‼️宜しくお願いいたします🤲,5,Daian1222,0
105,ありがとうございます♪本当に素晴らしい対応だと思います♪感謝いたします。頑張ってください。宜しくお願い致します！,3,由紀枝 壺谷,0
106,河村市長、頑張って下さい！,4,斉藤順子,0
107,子供に打たせようとするのやめろ,19,I Asam,0
108,河村市長ありがとうございます❗️地道な報道の成果ですね❗️ありがとうございます😊,2,みっきーみっきー,0
109,素晴らしいです👏👏👏本当にありがとうございます✴これ以上被害を増やさない為にも、併せて即時接種中止も進めて下さい。宜しくお願い致します🙏💦,3,寺西幸子,0
110,さすが！,18,ぱぱとべんきょう,0
111,有言実行。河村市長、素晴らしい👏👏👏　あとはワクチン接種自体にも意義を唱えて欲しい。,0,やまいち,0
112,流石です。他の地域でも広がっって欲しいですね。,3,わいす,0
113,河村市長、見直した!,10,H　w　T,0
114,ワクチン後遺症なのか、たまたまワクチン後に起きた体調不良なのかをしっかりと検査して欲しいですね。安易に「ワクチン後遺症「」と決めつけないことが重要。,1,K K,0
115,そんな事するより、打たない選択しなよ？,12,angel presents,0
116,河村市長、ありがとうございます❣️,2,藤田愛子,0
117,初めまして、貴重な情報ありがとうございます。シェアさせていただきます。,1,sadayo takeucti,0
118,河村市長ありがとうございます！愛知医科大学も含まれているんですかね？かなりテレビでワクチン推奨されてましたので、、気になりました。,1,yukko,0
119,当たり前の事です遅いくらいです名古屋に並んで全国に早い対策をお願いします,0,いちごむらさき,0
120,名古屋いいなあ、こういうところに住むのいいかも。,2,さゆ,0
121,市民の味方。正義の味方,1,みゆみゆ,0
122,メディアの力！,22,T F,0
123,スタッフは整った、サイは投げられた❗️,6,ビー太郎,0
124,非常にすばらしい‼️,2,Toku Ue,0
125,相談窓口は良いのですが、そもそもチクワが体内において、どういう作用を起こして、なぜ、そのような後遺症が生じるかというのを調べないと対処しようがないと思います。ただし、真実が表に出てくるかが疑問です。,0,S' M,0
126,2月の大石さんとの約束から随分遅れての公表になってしまいました。すでに子供への接種が進んでしまっています！！手遅れ、後出しじゃんけんにならないよう急いで拡散して！！,6,mek hal,0
127,ワクチン接種中止しないのですか？,6,げんき牧場,0
128,名古屋市長河村たかしさん、やる時はやる❗️他、知事、市町村長、打て打て❗️ワクチン打て❗️ばかり言ってる場合じゃないよっ❗️❗️❗️,2,T SEINO,0
129,大村知恥の顔色見てみたい！,10,Kou Sib,0
130,こんなものをとにかく安心なんだ、安全なんだと接種し続ける人の多さに呆れ果てるテレビが大本営発表すれば簡単に信じて打て打て状態飼いならされた羊とはこの事、何も調べない考えない、メディアが全て愚民だらけとはこの事,1,ナツキスバル,0
131,CBCは、いいね。,5,komati washi,0
132,僕の取引先のお店の常連さんも、3回目やった翌日に体調不良になり、車で病院向かう途中で電信柱にど真ん中から追突。そのまま帰らぬ人になりました。あと、僕の周りでは3人も『自』されましたが、例の風で亡くなった方は、ご近所さん、親戚、友人、知人、からの、その周囲を含めても！誰一人居ませんね！まーね、ゼロではないので、ネットで見る限りでは、80代のお爺ちゃんが、とか、昔から病弱だった40代の従兄弟が、とかありますけど、3年前までのインフルエンザと比べて、何一つ！1mmも！変化ありませんよ？1年目が95002年で18500でしょ？それまでだって毎年毎年、インフルエンザで毎年8000〜10000が亡くなってましたからね。2年で16000〜20000亡くなっても、なーーーんもおかしくありませんけど？？？何がそんなに恐いのやらwwwさざ波だぁ！？凪だゎ！この運子たわけ！！！で？この茶番劇をいつまでやるつもり？？？顔オムツしろ、顔オムツしろ、言いますけど、そんなもん、なーーーんの効果ありませんよwwwだって不織布のヤツだって、ウィーの100倍大きな穴空いてますからね！www雑菌生えまくりで、逆に不潔＆不健康かとwww少しは脳ミソ使えしwwwご愁傷様！www,12,Poohさん,3
132-1,毎年どのくらいインフルエンザで亡くなってるかは知ってます2年も感染対策&1ヶ月〜数ヶ月間の自粛、などしてきたのでインフルエンザウイルスはそんなに多くありません,0,空マンハッタン
132-2,@ken satou さま本当！世の中、アホばっかで疲れますねwwwどんだけ平和ボケやねんしwww,0,Poohさん
132-3,＞それまでだって毎年毎年、インフルエンザで毎年8000〜10000が亡くなってましたからね。　それを友人に話したら、「え？そうなん？」ってビックリしていた。そう言う人ばかりなんだよ。世の中。,1,ken satou
133,「当たりめぇだと思いますよ」が最高！　当たり前と思える事が出来るのが、珍しく奇特な事になってしまっている社会に、皆がNO！と言うべきだ。アイスブレイクした勇気ある人に続いて、当たり前の世の中に戻して欲しい。　要らないものは義理で買わなくて良い。無駄を無くして本当に必要な事にお金を使わないと、みんな舶来の強力バキュームカーに吸い取られる。,0,名も無きエルの子,0
134,結局のところ副反応なったら実費で診察なるのかな？,6,マスティー,0
135,一歩前進です。他の自治体どうされるのでしょう？おそらく知らないふりでしょう！,1,chann kan,0
136,子供の接種どうするのか？？？？,4,げんき牧場,0
137,今日中日新聞の1面トップに大見出しで「子供の感染重症化も」「疾患なくてもひどい肺炎」という記事が出ました。福本英司記者の署名入りです。話し手は、愛知県大府市の「あいち小児保健医療総合センター」総合診療科の伊藤健太医長。伊藤医長によると「第5波に比べ、感染者の増加に伴って子供の重症者も増えたという。重症化した子供は様ざまで、感染後にぜんそくなどが悪化したり、基礎疾患がなくてもひどい肺炎を患ったりしたケースがあった。」・・結論は予防接種を打て！　ファイザーがらみかどうか？後遺症はワ○○○を忘れたころにやってきますよ。癌、不妊、免疫がなくなる・・・,2,sunshine911,0
138,CBCはこれまでの煽り一辺倒の偏った報道を連日、繰り返し繰り返し行い続け、視聴者の本来冷静であるべきマインドを壊したことを認めなさい。,0,おがわだいせん,0
139,やるやんけ,5,れんたん😎,0
140,この人、金メダルかじった人じゃないの？,4,Kan Kan,0
141,マッチポンプだけど、ないよりマシ,1,Anton0220,0
142,まだマスクしてんのw,6,R E,0
143,あれコメ消されてるやん,0,キムムーキムムー,0
144,これでまた医療利権が潤うんですね,8,超人,1
144-1,早く利権を無しにしていただきたい。もう薬はいらない。　西洋医学もいらない。　何が病気の元になり何が悪化させているのか、国民は気付いていかないと　いつまでもイタチゴッコ。,6,あーあの頃が懐かしい(*´-`)
